,human_symbol,human_ensembl,human_entrez,mouse_symbol,mouse_ensembl,mouse_entrez
2634,ASB4,ENSG00000005981,51666,Asb4,ENSMUSG00000042607,65255
2635,CRLF1,ENSG00000006016,9244,Crlf1,ENSMUSG00000007888,12931
2636,OSBPL7,ENSG00000006025,114881,Osbpl7,ENSMUSG00000038534,71240
2637,ABCC8,ENSG00000006071,6833,Abcc8,ENSMUSG00000040136,20927
2638,TAC1,ENSG00000006128,6863,Tac1,ENSMUSG00000061762,21333
2639,MAP3K9,ENSG00000006432,4293,Map3k9,ENSMUSG00000042724,338372
2640,PHTF2,ENSG00000006576,57157,Phtf2,ENSMUSG00000039987,68770
2641,USH1C,ENSG00000006611,10083,Ush1c,ENSMUSG00000030838,72088
2642,IFRD1,ENSG00000006652,3475,Ifrd1,ENSMUSG00000001627,15982
2643,ADIPOR2,ENSG00000006831,79602,Adipor2,ENSMUSG00000030168,68465
2644,KIAA0100,ENSG00000007202,<NA>,2610507B11Rik,ENSMUSG00000010277,<NA>
2645,SCN4A,ENSG00000007314,6329,Scn4a,ENSMUSG00000001027,110880
2646,RHBDF1,ENSG00000007384,64285,Rhbdf1,ENSMUSG00000020282,13650
2647,PSMB1,ENSG00000008018,5689,Psmb1,ENSMUSG00000014769,19170
2648,JARID2,ENSG00000008083,3720,Jarid2,ENSMUSG00000038518,16468
2649,CAMK1G,ENSG00000008118,57172,Camk1g,ENSMUSG00000016179,215303
2650,CDK11A,ENSG00000008128,728642,Cdk11b,ENSMUSG00000029062,12537
2651,SPAG9,ENSG00000008294,9043,Spag9,ENSMUSG00000020859,70834
2652,CELSR3,ENSG00000008300,1951,Celsr3,ENSMUSG00000023473,107934
2653,NFIX,ENSG00000008441,4784,Nfix,ENSMUSG00000001911,18032
2654,MED24,ENSG00000008838,9862,Med24,ENSMUSG00000017210,23989
2655,RHOBTB2,ENSG00000008853,23221,Rhobtb2,ENSMUSG00000022075,246710
2656,SEC62,ENSG00000008952,7095,Sec62,ENSMUSG00000027706,69276
2657,CSDE1,ENSG00000009307,7812,Csde1,ENSMUSG00000068823,229663
2658,UBE3C,ENSG00000009335,9690,Ube3c,ENSMUSG00000039000,100763
2659,IFFO1,ENSG00000010295,25900,Iffo1,ENSMUSG00000038271,320678
2660,BTK,ENSG00000010671,695,Btk,ENSMUSG00000031264,12229
2661,SCMH1,ENSG00000010803,22955,Scmh1,ENSMUSG00000000085,29871
2662,BTBD7,ENSG00000011114,55727,Btbd7,ENSMUSG00000041702,238386
2663,ABHD5,ENSG00000011198,51099,Abhd5,ENSMUSG00000032540,67469
2664,AKAP8L,ENSG00000011243,26993,Akap8l,ENSMUSG00000002625,54194
2665,GABRA3,ENSG00000011677,2556,Gabra3,ENSMUSG00000031343,14396
2666,NR1H4,ENSG00000012504,9971,Nr1h4,ENSMUSG00000047638,20186
2667,ALOX5,ENSG00000012779,240,Alox5,ENSMUSG00000025701,11689
2668,CLDN11,ENSG00000013297,5010,Cldn11,ENSMUSG00000037625,18417
2669,RWDD2A,ENSG00000013392,112611,Rwdd2a,ENSMUSG00000032417,69519
2670,XYLT2,ENSG00000015532,64132,Xylt2,ENSMUSG00000020868,217119
2671,ATP2C1,ENSG00000017260,27032,Atp2c1,ENSMUSG00000032570,235574
2672,CNTN1,ENSG00000018236,1272,Cntn1,ENSMUSG00000055022,12805
2673,PHLDB1,ENSG00000019144,23187,Phldb1,ENSMUSG00000048537,102693
2674,SNAI2,ENSG00000019549,6591,Snai2,ENSMUSG00000022676,20583
2675,MNAT1,ENSG00000020426,4331,Mnat1,ENSMUSG00000021103,17420
2676,SAMD4A,ENSG00000020577,23034,Samd4,ENSMUSG00000021838,74480
2677,PLEKHB1,ENSG00000021300,58473,Plekhb1,ENSMUSG00000030701,27276
2678,SPAST,ENSG00000021574,6683,Spast,ENSMUSG00000024068,50850
2679,AQR,ENSG00000021776,9716,Aqr,ENSMUSG00000040383,11834
2680,CPS1,ENSG00000021826,1373,Cps1,ENSMUSG00000025991,227231
2681,FHL1,ENSG00000022267,2273,Fhl1,ENSMUSG00000023092,14199
2682,ZDHHC6,ENSG00000023041,64429,Zdhhc6,ENSMUSG00000024982,66980
2683,GRAMD1B,ENSG00000023171,57476,Gramd1b,ENSMUSG00000040111,235283
2684,NDUFS1,ENSG00000023228,4719,Ndufs1,ENSMUSG00000025968,227197
2685,ERP44,ENSG00000023318,23071,Erp44,ENSMUSG00000028343,76299
2686,DERA,ENSG00000023697,51071,Dera,ENSMUSG00000030225,232449
2687,DEF6,ENSG00000023892,50619,Def6,ENSMUSG00000002257,23853
2688,RRAGD,ENSG00000025039,58528,Rragd,ENSMUSG00000028278,52187
2689,KCNG1,ENSG00000026559,3755,Kcng1,ENSMUSG00000074575,241794
2690,POU2F2,ENSG00000028277,5452,Pou2f2,ENSMUSG00000008496,18987
2691,BRD9,ENSG00000028310,65980,Brd9,ENSMUSG00000057649,105246
2692,MUSK,ENSG00000030304,4593,Musk,ENSMUSG00000057280,18198
2693,SARS1,ENSG00000031698,6301,Sars,ENSMUSG00000068739,20226
2694,CHPF2,ENSG00000033100,54480,Chpf2,ENSMUSG00000038181,100910
2695,LRRC7,ENSG00000033122,57554,Lrrc7,ENSMUSG00000028176,242274
2696,APBA2,ENSG00000034053,321,Apba2,ENSMUSG00000030519,11784
2697,RNF19A,ENSG00000034677,25897,Rnf19a,ENSMUSG00000022280,30945
2698,PEX3,ENSG00000034693,8504,Pex3,ENSMUSG00000019809,56535
2699,SH3YL1,ENSG00000035115,26751,Sh3yl1,ENSMUSG00000020669,24057
2700,VCL,ENSG00000035403,7414,Vcl,ENSMUSG00000021823,22330
2701,DEPDC1B,ENSG00000035499,55789,Depdc1b,ENSMUSG00000021697,218581
2702,TBC1D23,ENSG00000036054,55773,Tbc1d23,ENSMUSG00000022749,67581
2703,OTC,ENSG00000036473,5009,Otc,ENSMUSG00000031173,18416
2704,CYP46A1,ENSG00000036530,10858,Cyp46a1,ENSMUSG00000021259,13116
2705,CASR,ENSG00000036828,846,Casr,ENSMUSG00000051980,12374
2706,FBXO42,ENSG00000037637,54455,Fbxo42,ENSMUSG00000028920,213499
2707,MAT2B,ENSG00000038274,27430,Mat2b,ENSMUSG00000042032,108645
2708,TLL1,ENSG00000038295,7092,Tll1,ENSMUSG00000053626,21892
2709,EDC4,ENSG00000038358,23644,Edc4,ENSMUSG00000036270,234699
2710,STAU2,ENSG00000040341,27067,Stau2,ENSMUSG00000025920,29819
2711,PHF23,ENSG00000040633,79142,Phf23,ENSMUSG00000018572,78246
2712,MED17,ENSG00000042429,9440,Med17,ENSMUSG00000031935,234959
2713,CAPG,ENSG00000042493,822,Capg,ENSMUSG00000056737,12332
2714,PREX2,ENSG00000046889,80243,Prex2,ENSMUSG00000048960,109294
2715,ATP6V1H,ENSG00000047249,51606,Atp6v1h,ENSMUSG00000033793,108664
2716,TPR,ENSG00000047410,7175,Tpr,ENSMUSG00000006005,108989
2717,C12orf4,ENSG00000047621,57102,D6Wsu163e,ENSMUSG00000030347,28040
2718,RRM2B,ENSG00000048392,50484,Rrm2b,ENSMUSG00000022292,382985
2719,ZNF800,ENSG00000048405,168850,Zfp800,ENSMUSG00000039841,627049
2720,VPS13D,ENSG00000048707,55187,Vps13d,ENSMUSG00000020220,230895
2721,CELF2,ENSG00000048740,10659,Celf2,ENSMUSG00000002107,14007
2722,RCN1,ENSG00000049449,5954,Rcn1,ENSMUSG00000005973,19672
2723,CLPTM1L,ENSG00000049656,81037,Clptm1l,ENSMUSG00000021610,218335
2724,JKAMP,ENSG00000050130,51528,Jkamp,ENSMUSG00000005078,104771
2725,SLC4A8,ENSG00000050438,9498,Slc4a8,ENSMUSG00000023032,59033
2726,MAPK9,ENSG00000050748,5601,Mapk9,ENSMUSG00000020366,26420
2727,PIK3CB,ENSG00000051382,5291,Pik3cb,ENSMUSG00000032462,74769
2728,TTC17,ENSG00000052841,55761,Ttc17,ENSMUSG00000027194,74569
2729,MRTO4,ENSG00000053372,51154,Mrto4,ENSMUSG00000028741,69902
2730,ANAPC4,ENSG00000053900,29945,Anapc4,ENSMUSG00000029176,52206
2731,TRAPPC3,ENSG00000054116,27095,Trappc3,ENSMUSG00000028847,27096
2732,THRAP3,ENSG00000054118,9967,Thrap3,ENSMUSG00000043962,230753
2733,NOP58,ENSG00000055044,51602,Nop58,ENSMUSG00000026020,55989
2734,TAB2,ENSG00000055208,23118,Tab2,ENSMUSG00000015755,68652
2735,TMCC3,ENSG00000057704,57458,Tmcc3,ENSMUSG00000020023,319880
2736,MTA3,ENSG00000057935,57504,Mta3,ENSMUSG00000055817,116871
2737,ATP11B,ENSG00000058063,23200,Atp11b,ENSMUSG00000037400,76295
2738,POLR3E,ENSG00000058600,55718,Polr3e,ENSMUSG00000030880,26939
2739,ALDH18A1,ENSG00000059573,5832,Aldh18a1,ENSMUSG00000025007,56454
2740,PSD,ENSG00000059915,5662,Psd,ENSMUSG00000037126,73728
2741,CCAR1,ENSG00000060339,55749,Ccar1,ENSMUSG00000020074,67500
2742,PTPRU,ENSG00000060656,10076,Ptpru,ENSMUSG00000028909,19273
2743,COL11A1,ENSG00000060718,1301,Col11a1,ENSMUSG00000027966,12814
2744,MPC1,ENSG00000060762,51660,Mpc1,ENSMUSG00000023861,55951
2745,PRDM6,ENSG00000061455,93166,Prdm6,ENSMUSG00000069378,225518
2746,GUCY1B1,ENSG00000061918,2983,Gucy1b1,ENSMUSG00000028005,54195
2747,MON2,ENSG00000061987,23041,Mon2,ENSMUSG00000034602,67074
2748,GPBP1,ENSG00000062194,65056,Gpbp1,ENSMUSG00000032745,73274
2749,DGAT2,ENSG00000062282,84649,Dgat2,ENSMUSG00000030747,67800
2750,CS,ENSG00000062485,1431,Cs,ENSMUSG00000005683,12974
2751,CS,ENSG00000062485,1431,Csl,ENSMUSG00000046934,71832
2752,WAPL,ENSG00000062650,23063,Wapl,ENSMUSG00000041408,218914
2753,VMP1,ENSG00000062716,81671,Vmp1,ENSMUSG00000018171,75909
2754,EIF4B,ENSG00000063046,1975,Eif4b,ENSMUSG00000058655,75705
2755,MTMR1,ENSG00000063601,8776,Mtmr1,ENSMUSG00000015214,53332
2756,INTS13,ENSG00000064102,55726,Ints13,ENSMUSG00000040250,71177
2757,TAF2,ENSG00000064313,6873,Taf2,ENSMUSG00000037343,319944
2758,SLC12A2,ENSG00000064651,6558,Slc12a2,ENSMUSG00000024597,20496
2759,HMG20B,ENSG00000064961,10362,Hmg20b,ENSMUSG00000020232,15353
2760,ZNF76,ENSG00000065029,7629,Zfp523,ENSMUSG00000024220,224656
2761,PKN2,ENSG00000065243,5586,Pkn2,ENSMUSG00000004591,109333
2762,KARS1,ENSG00000065427,3735,Kars,ENSMUSG00000031948,85305
2763,ZC3H15,ENSG00000065548,55854,Zc3h15,ENSMUSG00000027091,69082
2764,MAP2K4,ENSG00000065559,6416,Map2k4,ENSMUSG00000033352,26398
2765,PRKCQ,ENSG00000065675,5588,Prkcq,ENSMUSG00000026778,18761
2766,ASB1,ENSG00000065802,51665,Asb1,ENSMUSG00000026311,65247
2767,CDK13,ENSG00000065883,8621,Cdk13,ENSMUSG00000041297,69562
2768,MTHFD2,ENSG00000065911,10797,Mthfd2,ENSMUSG00000005667,17768
2769,SLC9A7,ENSG00000065923,84679,Slc9a7,ENSMUSG00000037341,236727
2770,TIE1,ENSG00000066056,7075,Tie1,ENSMUSG00000033191,21846
2771,KDM4A,ENSG00000066135,9682,Kdm4a,ENSMUSG00000033326,230674
2772,ELOVL1,ENSG00000066322,64834,Elovl1,ENSMUSG00000006390,54325
2773,FGFR2,ENSG00000066468,2263,Fgfr2,ENSMUSG00000030849,14183
2774,ISOC1,ENSG00000066583,51015,Isoc1,ENSMUSG00000024601,66307
2775,EML1,ENSG00000066629,2009,Eml1,ENSMUSG00000058070,68519
2776,KLF6,ENSG00000067082,1316,Klf6,ENSMUSG00000000078,23849
2777,NEO1,ENSG00000067141,4756,Neo1,ENSMUSG00000032340,18007
2778,TRAM1,ENSG00000067167,23471,Tram1,ENSMUSG00000025935,72265
2779,PHKA1,ENSG00000067177,5255,Phka1,ENSMUSG00000034055,18679
2780,PKM,ENSG00000067225,5315,Pkm,ENSMUSG00000032294,18746
2781,PRKCZ,ENSG00000067606,5590,Prkcz,ENSMUSG00000029053,18762
2782,NAV3,ENSG00000067798,89795,Nav3,ENSMUSG00000020181,260315
2783,IDH3G,ENSG00000067829,3421,Idh3g,ENSMUSG00000002010,15929
2784,ROGDI,ENSG00000067836,79641,Rogdi,ENSMUSG00000022540,66049
2785,PDZD4,ENSG00000067840,57595,Pdzd4,ENSMUSG00000002006,245469
2786,HDAC4,ENSG00000068024,9759,Hdac4,ENSMUSG00000026313,208727
2787,PLEKHH3,ENSG00000068137,79990,Plekhh3,ENSMUSG00000035172,217198
2788,MEF2A,ENSG00000068305,4205,Mef2a,ENSMUSG00000030557,17258
2789,TFE3,ENSG00000068323,7030,Tfe3,ENSMUSG00000000134,209446
2790,TBC1D25,ENSG00000068354,4943,Tbc1d25,ENSMUSG00000039201,209815
2791,INPP5A,ENSG00000068383,3632,Inpp5a,ENSMUSG00000025477,212111
2792,GRIPAP1,ENSG00000068400,56850,Gripap1,ENSMUSG00000031153,54645
2793,KIF2A,ENSG00000068796,3796,Kif2a,ENSMUSG00000021693,16563
2794,PSME4,ENSG00000068878,23198,Psme4,ENSMUSG00000040850,103554
2795,IFT80,ENSG00000068885,57560,Ift80,ENSMUSG00000027778,68259
2796,SDK2,ENSG00000069188,54549,Sdk2,ENSMUSG00000041592,237979
2797,NUCKS1,ENSG00000069275,64710,Nucks1,ENSMUSG00000026434,98415
2798,MAPK6,ENSG00000069956,5597,Mapk6,ENSMUSG00000042688,50772
2799,PTPN3,ENSG00000070159,5774,Ptpn3,ENSMUSG00000038764,545622
2800,DAPP1,ENSG00000070190,27071,Dapp1,ENSMUSG00000028159,26377
2801,FGF10,ENSG00000070193,2255,Fgf10,ENSMUSG00000021732,14165
2802,SLC44A1,ENSG00000070214,23446,Slc44a1,ENSMUSG00000028412,100434
2803,DGCR2,ENSG00000070413,9993,Dgcr2,ENSMUSG00000003166,13356
2804,DGCR2,ENSG00000070413,9993,Gm20518,ENSMUSG00000092470,<NA>
2805,RNF126,ENSG00000070423,55658,Rnf126,ENSMUSG00000035890,70294
2806,MNT,ENSG00000070444,4335,Mnt,ENSMUSG00000000282,17428
2807,JMJD6,ENSG00000070495,23210,Jmjd6,ENSMUSG00000056962,107817
2808,WIPI1,ENSG00000070540,55062,Wipi1,ENSMUSG00000041895,52639
2809,ASNS,ENSG00000070669,440,Asns,ENSMUSG00000029752,27053
2810,EIF2B3,ENSG00000070785,8891,Eif2b3,ENSMUSG00000028683,108067
2811,EPHA8,ENSG00000070886,2046,Epha8,ENSMUSG00000028661,13842
2812,MAP4K4,ENSG00000071054,9448,Map4k4,ENSMUSG00000026074,26921
2813,MGAT4A,ENSG00000071073,11320,Mgat4a,ENSMUSG00000026110,269181
2814,WDR1,ENSG00000071127,9948,Wdr1,ENSMUSG00000005103,22388
2815,VASH1,ENSG00000071246,22846,Vash1,ENSMUSG00000021256,238328
2816,LMCD1,ENSG00000071282,29995,Lmcd1,ENSMUSG00000057604,30937
2817,SEL1L,ENSG00000071537,6400,Sel1l,ENSMUSG00000020964,20338
2818,TRIP13,ENSG00000071539,9319,Trip13,ENSMUSG00000021569,69716
2819,MBD3,ENSG00000071655,53615,Mbd3,ENSMUSG00000035478,17192
2820,AFF4,ENSG00000072364,27125,Aff4,ENSMUSG00000049470,93736
2821,P4HA2,ENSG00000072682,8974,P4ha2,ENSMUSG00000018906,18452
2822,TRNT1,ENSG00000072756,51095,Trnt1,ENSMUSG00000013736,70047
2823,ACAP1,ENSG00000072818,9744,Acap1,ENSMUSG00000001588,216859
2824,PANX2,ENSG00000073150,56666,Panx2,ENSMUSG00000058441,406218
2825,NLE1,ENSG00000073536,54475,Nle1,ENSMUSG00000020692,217011
2826,SDHA,ENSG00000073578,6389,Sdha,ENSMUSG00000021577,66945
2827,ADAM11,ENSG00000073670,4185,Adam11,ENSMUSG00000020926,11488
2828,IGF2BP2,ENSG00000073792,10644,Igf2bp2,ENSMUSG00000033581,319765
2829,CLASP1,ENSG00000074054,23332,Clasp1,ENSMUSG00000064302,76707
2830,TEAD2,ENSG00000074219,8463,Tead2,ENSMUSG00000030796,21677
2831,EED,ENSG00000074266,8726,Eed,ENSMUSG00000030619,13626
2832,TSG101,ENSG00000074319,7251,Tsg101,ENSMUSG00000014402,22088
2833,NCBP3,ENSG00000074356,55421,Ncbp3,ENSMUSG00000020783,66874
2834,BCS1L,ENSG00000074582,617,Bcs1l,ENSMUSG00000026172,66821
2835,DPP8,ENSG00000074603,54878,Dpp8,ENSMUSG00000032393,74388
2836,ENO1,ENSG00000074800,2023,Eno1b,ENSMUSG00000059040,433182
2837,ENO1,ENSG00000074800,2023,Eno1,ENSMUSG00000063524,13806
2838,SLC12A1,ENSG00000074803,6557,Slc12a1,ENSMUSG00000027202,20495
2839,WSCD2,ENSG00000075035,9671,Wscd2,ENSMUSG00000063430,320916
2840,KCNQ2,ENSG00000075043,3785,Kcnq2,ENSMUSG00000016346,16536
2841,SEMA3A,ENSG00000075213,10371,Sema3a,ENSMUSG00000028883,20346
2842,GRAMD4,ENSG00000075240,23151,Gramd4,ENSMUSG00000035900,223752
2843,WNT8B,ENSG00000075290,7479,Wnt8b,ENSMUSG00000036961,22423
2844,ADD2,ENSG00000075340,119,Add2,ENSMUSG00000030000,11519
2845,FNDC3B,ENSG00000075420,64778,Fndc3b,ENSMUSG00000039286,72007
2846,FOSL2,ENSG00000075426,2355,Fosl2,ENSMUSG00000029135,14284
2847,FRYL,ENSG00000075539,285527,Fryl,ENSMUSG00000070733,72313
2848,DLG1,ENSG00000075711,1739,Dlg1,ENSMUSG00000022770,13383
2849,EXOSC7,ENSG00000075914,23016,Exosc7,ENSMUSG00000025785,66446
2850,REXO2,ENSG00000076043,25996,Rexo2,ENSMUSG00000032026,104444
2851,GPC4,ENSG00000076716,2239,Gpc4,ENSMUSG00000031119,14735
2852,STXBP2,ENSG00000076944,6813,Stxbp2,ENSMUSG00000004626,20911
2853,DGKD,ENSG00000077044,8527,Dgkd,ENSMUSG00000070738,227333
2854,TOP2B,ENSG00000077097,7155,Top2b,ENSMUSG00000017485,21974
2855,PAK3,ENSG00000077264,5063,Pak3,ENSMUSG00000031284,18481
2856,CAPN6,ENSG00000077274,827,Capn6,ENSMUSG00000067276,12338
2857,JADE1,ENSG00000077684,79960,Jade1,ENSMUSG00000025764,269424
2858,FGFR1,ENSG00000077782,2260,Fgfr1,ENSMUSG00000031565,14182
2859,ARAF,ENSG00000078061,369,Araf,ENSMUSG00000001127,11836
2860,ADCY2,ENSG00000078295,108,Adcy2,ENSMUSG00000021536,210044
2861,MLLT10,ENSG00000078403,8028,Mllt10,ENSMUSG00000026743,17354
2862,ADCYAP1R1,ENSG00000078549,117,Adcyap1r1,ENSMUSG00000029778,11517
2863,FGF20,ENSG00000078579,26281,Fgf20,ENSMUSG00000031603,80857
2864,ITM2A,ENSG00000078596,9452,Itm2a,ENSMUSG00000031239,16431
2865,NRDC,ENSG00000078618,4898,Nrd1,ENSMUSG00000053510,230598
2866,CBFA2T2,ENSG00000078699,9139,Cbfa2t2,ENSMUSG00000038533,12396
2867,MYH7B,ENSG00000078814,57644,Myh7b,ENSMUSG00000074652,668940
2868,TOLLIP,ENSG00000078902,54472,Tollip,ENSMUSG00000025139,54473
2869,STX7,ENSG00000079950,8417,Stx7,ENSMUSG00000019998,53331
2870,KEAP1,ENSG00000079999,9817,Keap1,ENSMUSG00000003308,50868
2871,EPHA6,ENSG00000080224,285220,Epha6,ENSMUSG00000055540,13840
2872,RAB21,ENSG00000080371,23011,Rab21,ENSMUSG00000020132,216344
2873,SMARCA2,ENSG00000080503,6595,Smarca2,ENSMUSG00000024921,67155
2874,SESN1,ENSG00000080546,27244,Sesn1,ENSMUSG00000038332,140742
2875,MID2,ENSG00000080561,11043,Mid2,ENSMUSG00000000266,23947
2876,PSEN1,ENSG00000080815,5663,Psen1,ENSMUSG00000019969,19164
2877,DLGAP4,ENSG00000080845,22839,Dlgap4,ENSMUSG00000061689,228836
2878,RSBN1,ENSG00000081019,54665,Rsbn1,ENSMUSG00000044098,229675
2879,PCNP,ENSG00000081154,57092,Pcnp,ENSMUSG00000071533,76302
2880,PKP1,ENSG00000081277,5317,Pkp1,ENSMUSG00000026413,18772
2881,ATP8B1,ENSG00000081923,5205,Atp8b1,ENSMUSG00000039529,54670
2882,BZW1,ENSG00000082153,9689,Bzw1,ENSMUSG00000051223,66882
2883,C1QTNF3,ENSG00000082196,114899,C1qtnf3,ENSMUSG00000058914,81799
2884,KCNK2,ENSG00000082482,3776,Kcnk2,ENSMUSG00000037624,16526
2885,OPRK1,ENSG00000082556,4986,Oprk1,ENSMUSG00000025905,18387
2886,NFE2L1,ENSG00000082641,4779,Nfe2l1,ENSMUSG00000038615,18023
2887,RNF13,ENSG00000082996,11342,Rnf13,ENSMUSG00000036503,24017
2888,TRPM3,ENSG00000083067,80036,Trpm3,ENSMUSG00000052387,226025
2889,DOP1A,ENSG00000083097,23033,Dop1a,ENSMUSG00000034973,320615
2890,ULK2,ENSG00000083290,9706,Ulk2,ENSMUSG00000004798,29869
2891,GRHL2,ENSG00000083307,79977,Grhl2,ENSMUSG00000022286,252973
2892,OXCT1,ENSG00000083720,5019,Oxct1,ENSMUSG00000022186,67041
2893,CYLD,ENSG00000083799,1540,Cyld,ENSMUSG00000036712,74256
2894,SMAP2,ENSG00000084070,64744,Smap2,ENSMUSG00000032870,69780
2895,ZMPSTE24,ENSG00000084073,10269,Zmpste24,ENSMUSG00000043207,230709
2896,STARD7,ENSG00000084090,56910,Stard7,ENSMUSG00000027367,99138
2897,HAL,ENSG00000084110,3034,Hal,ENSMUSG00000020017,15109
2898,KIF3C,ENSG00000084731,3797,Kif3c,ENSMUSG00000020668,16570
2899,CAD,ENSG00000084774,790,Cad,ENSMUSG00000013629,69719
2900,MYNN,ENSG00000085274,55892,Mynn,ENSMUSG00000037730,80732
2901,PREP,ENSG00000085377,5550,Prep,ENSMUSG00000019849,19072
2902,WDR47,ENSG00000085433,22911,Wdr47,ENSMUSG00000040389,99512
2903,SLC25A24,ENSG00000085491,29957,Slc25a24,ENSMUSG00000040322,229731
2904,CPNE3,ENSG00000085719,8895,Cpne3,ENSMUSG00000028228,70568
2905,CHERP,ENSG00000085872,10523,Cherp,ENSMUSG00000052488,27967
2906,ATG16L1,ENSG00000085978,55054,Atg16l1,ENSMUSG00000026289,77040
2907,RAD54L,ENSG00000085999,8438,Rad54l,ENSMUSG00000028702,19366
2908,IPO11,ENSG00000086200,51194,Ipo11,ENSMUSG00000042590,76582
2909,SNX10,ENSG00000086300,29887,Snx10,ENSMUSG00000038301,71982
2910,ZFAND6,ENSG00000086666,54469,Zfand6,ENSMUSG00000030629,65098
2911,ALG9,ENSG00000086848,79796,Alg9,ENSMUSG00000032059,102580
2912,PIGS,ENSG00000087111,94005,Pigs,ENSMUSG00000041958,276846
2913,PGS1,ENSG00000087157,9489,Pgs1,ENSMUSG00000017715,74451
2914,SF3B2,ENSG00000087365,10992,Sf3b2,ENSMUSG00000024853,319322
2915,DNM1L,ENSG00000087470,10059,Dnm1l,ENSMUSG00000022789,74006
2916,ERGIC2,ENSG00000087502,51290,Ergic2,ENSMUSG00000030304,67456
2917,CNOT3,ENSG00000088038,4849,Cnot3,ENSMUSG00000035632,232791
2918,PTPN4,ENSG00000088179,5775,Ptpn4,ENSMUSG00000026384,19258
2919,KHSRP,ENSG00000088247,8570,Khsrp,ENSMUSG00000007670,16549
2920,EDEM2,ENSG00000088298,55741,Edem2,ENSMUSG00000038312,108687
2921,EDEM2,ENSG00000088298,111089941,Edem2,ENSMUSG00000038312,108687
2922,EPB41L1,ENSG00000088367,2036,Epb41l1,ENSMUSG00000027624,13821
2923,DOCK9,ENSG00000088387,23348,Dock9,ENSMUSG00000025558,105445
2924,PPP1R13B,ENSG00000088808,23368,Ppp1r13b,ENSMUSG00000021285,21981
2925,ATRN,ENSG00000088812,8455,Atrn,ENSMUSG00000027312,11990
2926,SMOX,ENSG00000088826,54498,Smox,ENSMUSG00000027333,228608
2927,EBF4,ENSG00000088881,57593,Ebf4,ENSMUSG00000053552,228598
2928,LZTS3,ENSG00000088899,9762,Lzts3,ENSMUSG00000037703,241638
2929,ANAPC5,ENSG00000089053,51433,Anapc5,ENSMUSG00000029472,59008
2930,SLC23A2,ENSG00000089057,9962,Slc23a2,ENSMUSG00000027340,54338
2931,KDM2B,ENSG00000089094,84678,Kdm2b,ENSMUSG00000029475,30841
2932,TASP1,ENSG00000089123,55617,Tasp1,ENSMUSG00000039033,75812
2933,TBX5,ENSG00000089225,6910,Tbx5,ENSMUSG00000018263,21388
2934,FUS,ENSG00000089280,2521,Fus,ENSMUSG00000030795,233908
2935,GRAMD1A,ENSG00000089351,57655,Gramd1a,ENSMUSG00000001248,52857
2936,CDIP1,ENSG00000089486,29965,Cdip1,ENSMUSG00000004071,66626
2937,OTUB2,ENSG00000089723,78990,Otub2,ENSMUSG00000021203,68149
2938,NECAP1,ENSG00000089818,25977,Necap1,ENSMUSG00000030327,67602
2939,BLVRB,ENSG00000090013,645,Blvrb,ENSMUSG00000040466,233016
2940,SLC9A1,ENSG00000090020,6548,Slc9a1,ENSMUSG00000028854,20544
2941,PAPOLA,ENSG00000090060,10914,Papola,ENSMUSG00000021111,18789
2942,NUDC,ENSG00000090273,10726,Nudc,ENSMUSG00000028851,18221
2943,STRN4,ENSG00000090372,29888,Strn4,ENSMUSG00000030374,97387
2944,USP48,ENSG00000090686,84196,Usp48,ENSMUSG00000043411,170707
2945,EFNB1,ENSG00000090776,1947,Efnb1,ENSMUSG00000031217,13641
2946,PDPR,ENSG00000090857,55066,Pdpr,ENSMUSG00000033624,319518
2947,PDPR,ENSG00000090857,124907803,Pdpr,ENSMUSG00000033624,319518
2948,AARS1,ENSG00000090861,16,Aars,ENSMUSG00000031960,234734
2949,GLG1,ENSG00000090863,2734,Glg1,ENSMUSG00000003316,20340
2950,NAT14,ENSG00000090971,57106,Nat14,ENSMUSG00000035285,269854
2951,OSBPL8,ENSG00000091039,114882,Osbpl8,ENSMUSG00000020189,237542
2952,LAMB1,ENSG00000091136,3912,Lamb1,ENSMUSG00000002900,16777
2953,DLD,ENSG00000091140,1738,Dld,ENSMUSG00000020664,13382
2954,WDR7,ENSG00000091157,23335,Wdr7,ENSMUSG00000040560,104082
2955,ITGA6,ENSG00000091409,3655,Itga6,ENSMUSG00000027111,16403
2956,MAP3K20,ENSG00000091436,51776,Map3k20,ENSMUSG00000004085,65964
2957,FH,ENSG00000091483,2271,Fh1,ENSMUSG00000026526,14194
2958,PITPNM3,ENSG00000091622,83394,Pitpnm3,ENSMUSG00000040543,327958
2959,CEBPE,ENSG00000092067,1053,Cebpe,ENSMUSG00000052435,110794
2960,OSGEP,ENSG00000092094,55644,Osgep,ENSMUSG00000006289,66246
2961,SCFD1,ENSG00000092108,23256,Scfd1,ENSMUSG00000020952,76983
2962,TOX4,ENSG00000092203,9878,Tox4,ENSMUSG00000016831,268741
2963,TBL1Y,ENSG00000092377,90665,Tbl1x,ENSMUSG00000025246,21372
2964,SEMA6A,ENSG00000092421,57556,Sema6a,ENSMUSG00000019647,20358
2965,TRPM7,ENSG00000092439,54822,Trpm7,ENSMUSG00000027365,58800
2966,CAPN3,ENSG00000092529,825,Capn3,ENSMUSG00000079110,12335
2967,PHGDH,ENSG00000092621,26227,Phgdh,ENSMUSG00000053398,236539
