,mouse_symbol,mouse_ensembl,mouse_entrez,human_symbol,human_ensembl,human_entrez
1167,Atp2b4,ENSMUSG00000026463,381290,ATP2B4,ENSG00000058668,493
1168,Cdc42bpa,ENSMUSG00000026490,226751,CDC42BPA,ENSG00000143776,8476
1169,Mixl1,ENSMUSG00000026497,27217,MIXL1,ENSG00000185155,83881
1170,Nvl,ENSMUSG00000026516,67459,NVL,ENSG00000143748,4931
1171,Esrrg,ENSMUSG00000026610,26381,ESRRG,ENSG00000196482,2104
1172,Spata17,ENSMUSG00000026611,74717,SPATA17,ENSG00000162814,128153
1173,Angel2,ENSMUSG00000026634,52477,ANGEL2,ENSG00000174606,90806
1174,4921504E06Rik,ENSMUSG00000026734,70909,C10orf67,ENSG00000179133,256815
1175,Ptf1a,ENSMUSG00000026735,19213,PTF1A,ENSG00000168267,256297
1176,Nek6,ENSMUSG00000026749,59126,NEK6,ENSG00000119408,10783
1177,Psmb7,ENSMUSG00000026750,19177,PSMB7,ENSG00000136930,5695
1178,Nr5a1,ENSMUSG00000026751,26423,NR5A1,ENSG00000136931,2516
1179,Ppp6c,ENSMUSG00000026753,67857,PPP6C,ENSG00000119414,5537
1180,Golga1,ENSMUSG00000026754,76899,GOLGA1,ENSG00000136935,2800
1181,Arpc5l,ENSMUSG00000026755,74192,ARPC5L,ENSG00000136950,81873
1182,Zbtb43,ENSMUSG00000026788,71834,ZBTB43,ENSG00000169155,23099
1183,Odf2,ENSMUSG00000026790,18286,ODF2,ENSG00000136811,4957
1184,Slc2a8,ENSMUSG00000026791,56017,SLC2A8,ENSG00000136856,29988
1185,Lrsam1,ENSMUSG00000026792,227738,LRSAM1,ENSG00000148356,90678
1186,Stxbp1,ENSMUSG00000026797,20910,STXBP1,ENSG00000136854,6812
1187,Ttf1,ENSMUSG00000026803,22130,TTF1,ENSG00000125482,7270
1188,Cel,ENSMUSG00000026818,12613,CEL,ENSG00000170835,1056
1189,Nr4a2,ENSMUSG00000026826,18227,NR4A2,ENSG00000153234,4929
1190,Fcnb,ENSMUSG00000026835,14134,FCN1,ENSG00000085265,2219
1191,Upp2,ENSMUSG00000026839,76654,UPP2,ENSG00000007001,151531
1192,Lamc3,ENSMUSG00000026840,23928,LAMC3,ENSG00000050555,10319
1193,Hspa5,ENSMUSG00000026864,14828,HSPA5,ENSG00000044574,3309
1194,Gapvd1,ENSMUSG00000026867,66691,GAPVD1,ENSG00000165219,26130
1195,Strbp,ENSMUSG00000026915,20744,STRBP,ENSG00000165209,55342
1196,Lhx3,ENSMUSG00000026934,16871,LHX3,ENSG00000107187,8022
1197,Pax8,ENSMUSG00000026976,18510,PAX8,ENSG00000125618,7849
1198,Psd4,ENSMUSG00000026979,215632,PSD4,ENSG00000125637,23550
1199,Il1rn,ENSMUSG00000026981,16181,IL1RN,ENSG00000136689,3557
1200,Wdsub1,ENSMUSG00000026988,72137,WDSUB1,ENSG00000196151,151525
1201,Pkp4,ENSMUSG00000026991,227937,PKP4,ENSG00000144283,8502
1202,Nup35,ENSMUSG00000026999,69482,NUP35,ENSG00000163002,129401
1203,Dusp19,ENSMUSG00000027001,68082,DUSP19,ENSG00000162999,142679
1204,Nckap1,ENSMUSG00000027002,50884,NCKAP1,ENSG00000061676,10787
1205,Itprid2,ENSMUSG00000027007,70599,ITPRID2,ENSG00000138434,6744
1206,Ube2e3,ENSMUSG00000027011,22193,UBE2E3,ENSG00000170035,10477
1207,Dync1i2,ENSMUSG00000027012,13427,DYNC1I2,ENSG00000077380,1781
1208,Itgav,ENSMUSG00000027087,16410,ITGAV,ENSG00000138448,3685
1209,Zc3h15,ENSMUSG00000027091,69082,ZC3H15,ENSG00000065548,55854
1210,Hoxd8,ENSMUSG00000027102,15437,HOXD8,ENSG00000175879,3234
1211,Chrna1,ENSMUSG00000027107,11435,CHRNA1,ENSG00000138435,1134
1212,Itga6,ENSMUSG00000027111,16403,ITGA6,ENSG00000091409,3655
1213,Cops2,ENSMUSG00000027206,12848,COPS2,ENSG00000166200,9318
1214,Galk2,ENSMUSG00000027207,69976,GALK2,ENSG00000156958,2585
1215,Fgf7,ENSMUSG00000027208,14178,FGF7,ENSG00000140285,2252
1216,Fam227b,ENSMUSG00000027209,75823,FAM227B,ENSG00000166262,196951
1217,Sord,ENSMUSG00000027227,20322,SORD,ENSG00000140263,6652
1218,Ell3,ENSMUSG00000027246,269344,ELL3,ENSG00000128886,80237
1219,Hao1,ENSMUSG00000027261,15112,HAO1,ENSG00000101323,54363
1220,Lamp5,ENSMUSG00000027270,76161,LAMP5,ENSG00000125869,24141
1221,Lrrc57,ENSMUSG00000027286,66606,LRRC57,ENSG00000180979,255252
1222,Vps39,ENSMUSG00000027291,269338,VPS39,ENSG00000166887,23339
1223,Ehd4,ENSMUSG00000027293,98878,EHD4,ENSG00000103966,30844
1224,Itpka,ENSMUSG00000027296,228550,ITPKA,ENSG00000137825,3706
1225,Ltk,ENSMUSG00000027297,17005,LTK,ENSG00000062524,4058
1226,Tyro3,ENSMUSG00000027298,22174,TYRO3,ENSG00000092445,7301
1227,Ubox5,ENSMUSG00000027300,140629,UBOX5,ENSG00000185019,22888
1228,Oxt,ENSMUSG00000027301,18429,OXT,ENSG00000101405,5020
1229,Ptpra,ENSMUSG00000027303,19262,PTPRA,ENSG00000132670,5786
1230,Rtf1,ENSMUSG00000027304,76246,RTF1,ENSG00000137815,23168
1231,Ndufaf1,ENSMUSG00000027305,69702,NDUFAF1,ENSG00000137806,51103
1232,Nusap1,ENSMUSG00000027306,108907,NUSAP1,ENSG00000137804,51203
1233,Atrn,ENSMUSG00000027312,11990,ATRN,ENSG00000088812,8455
1234,Chac1,ENSMUSG00000027313,69065,CHAC1,ENSG00000128965,79094
1235,Dll4,ENSMUSG00000027314,54485,DLL4,ENSG00000128917,54567
1236,Spint1,ENSMUSG00000027315,20732,SPINT1,ENSG00000166145,6692
1237,Gfra4,ENSMUSG00000027316,14588,GFRA4,ENSG00000125861,64096
1238,Ppp1r14d,ENSMUSG00000027317,72112,PPP1R14D,ENSG00000166143,54866
1239,Adam33,ENSMUSG00000027318,110751,ADAM33,ENSG00000149451,80332
1240,Siglec1,ENSMUSG00000027322,20612,SIGLEC1,ENSG00000088827,6614
1241,1700037H04Rik,ENSMUSG00000027327,67326,C20orf27,ENSG00000101220,<NA>
1242,Spef1,ENSMUSG00000027329,70997,SPEF1,ENSG00000101222,25876
1243,Cdc25b,ENSMUSG00000027330,12531,CDC25B,ENSG00000101224,994
1244,Smox,ENSMUSG00000027333,228608,SMOX,ENSG00000088826,54498
1245,Adra1d,ENSMUSG00000027335,11550,ADRA1D,ENSG00000171873,146
1246,Prnd,ENSMUSG00000027338,26434,PRND,ENSG00000171864,23627
1247,Fam98b,ENSMUSG00000027349,68215,FAM98B,ENSG00000171262,283742
1248,Chgb,ENSMUSG00000027350,12653,CHGB,ENSG00000089199,1114
1249,Crls1,ENSMUSG00000027357,66586,CRLS1,ENSG00000088766,54675
1250,Slc27a2,ENSMUSG00000027359,26458,SLC27A2,ENSG00000140284,11001
1251,Hdc,ENSMUSG00000027360,15186,HDC,ENSG00000140287,3067
1252,Gabpb1,ENSMUSG00000027361,14391,GABPB1,ENSG00000104064,2553
1253,Usp8,ENSMUSG00000027363,84092,USP8,ENSG00000138592,9101
1254,Usp50,ENSMUSG00000027364,75083,USP50,ENSG00000170236,373509
1255,Trpm7,ENSMUSG00000027365,58800,TRPM7,ENSG00000092439,54822
1256,Sppl2a,ENSMUSG00000027366,66552,SPPL2A,ENSG00000138600,84888
1257,Stard7,ENSMUSG00000027367,99138,STARD7,ENSG00000084090,56910
1258,Fahd2a,ENSMUSG00000027371,68126,FAHD2A,ENSG00000115042,51011
1259,Prom2,ENSMUSG00000027376,192212,PROM2,ENSG00000155066,150696
1260,Mall,ENSMUSG00000027377,228576,MALL,ENSG00000144063,7851
1261,Fbln7,ENSMUSG00000027386,70370,FBLN7,ENSG00000144152,129804
1262,Zc3h8,ENSMUSG00000027387,57432,ZC3H8,ENSG00000144161,84524
1263,Ttl,ENSMUSG00000027394,69737,TTL,ENSG00000114999,150465
1264,Tgm6,ENSMUSG00000027403,241636,TGM6,ENSG00000166948,343641
1265,Idh3b,ENSMUSG00000027406,170718,IDH3B,ENSG00000101365,3420
1266,Cpxm1,ENSMUSG00000027408,56264,CPXM1,ENSG00000088882,56265
1267,Vps16,ENSMUSG00000027411,80743,VPS16,ENSG00000215305,64601
1268,Kat14,ENSMUSG00000027425,228714,KAT14,ENSG00000149474,57325
1269,Sec23b,ENSMUSG00000027429,27054,SEC23B,ENSG00000101310,10483
1270,Cst8,ENSMUSG00000027442,13012,CST8,ENSG00000125815,10047
1271,Cst3,ENSMUSG00000027447,13010,CST3,ENSG00000101439,1471
1272,Sdcbp2,ENSMUSG00000027456,228765,SDCBP2,ENSG00000125775,27111
1273,Rbck1,ENSMUSG00000027466,24105,RBCK1,ENSG00000125826,10616
1274,Cstf1,ENSMUSG00000027498,67337,CSTF1,ENSG00000101138,1477
1275,Rtf2,ENSMUSG00000027502,66404,RTF2,ENSG00000022277,51507
1276,Fam209,ENSMUSG00000027505,76426,FAM209A,ENSG00000124103,200232
1277,Fam209,ENSMUSG00000027505,76426,FAM209B,ENSG00000213714,388799
1278,Rae1,ENSMUSG00000027509,66679,RAE1,ENSG00000101146,8480
1279,Rbm38,ENSMUSG00000027510,56190,RBM38,ENSG00000132819,55544
1280,Pck1,ENSMUSG00000027513,18534,PCK1,ENSG00000124253,5105
1281,Zbp1,ENSMUSG00000027514,58203,ZBP1,ENSG00000124256,81030
1282,Ankrd60,ENSMUSG00000027517,70065,ANKRD60,ENSG00000124227,140731
1283,1700021F07Rik,ENSMUSG00000027518,72221,C20orf85,ENSG00000124237,128602
1284,Rab22a,ENSMUSG00000027519,19334,RAB22A,ENSG00000124209,57403
1285,Zdbf2,ENSMUSG00000027520,73884,ZDBF2,ENSG00000204186,57683
1286,Gnas,ENSMUSG00000027523,14683,GNAS,ENSG00000087460,2778
1287,Edn3,ENSMUSG00000027524,13616,EDN3,ENSG00000124205,1908
1288,Phactr3,ENSMUSG00000027525,74189,PHACTR3,ENSG00000087495,116154
1289,Atp9a,ENSMUSG00000027546,11981,ATP9A,ENSG00000054793,10079
1290,Zfp64,ENSMUSG00000027551,22722,ZFP64,ENSG00000020256,55734
1291,Car13,ENSMUSG00000027555,71934,CA13,ENSG00000185015,377677
1292,Car1,ENSMUSG00000027556,12346,CA1,ENSG00000133742,759
1293,Car3,ENSMUSG00000027559,12350,CA3,ENSG00000164879,761
1294,Dok5,ENSMUSG00000027560,76829,DOK5,ENSG00000101134,55816
1295,Car2,ENSMUSG00000027562,12349,CA2,ENSG00000104267,760
1296,Psma7,ENSMUSG00000027566,26444,PSMA7,ENSG00000101182,5688
1297,Ntsr1,ENSMUSG00000027568,18216,NTSR1,ENSG00000101188,4923
1298,Mrgbp,ENSMUSG00000027569,73247,MRGBP,ENSG00000101189,55257
1299,Gid8,ENSMUSG00000027573,76425,GID8,ENSG00000101193,54994
1300,Nkain4,ENSMUSG00000027574,58237,NKAIN4,ENSG00000101198,128414
1301,Arfgap1,ENSMUSG00000027575,228998,ARFGAP1,ENSG00000101199,55738
1302,Chrna4,ENSMUSG00000027577,11438,CHRNA4,ENSG00000101204,1137
1303,Pcmtd2,ENSMUSG00000027589,245867,PCMTD2,ENSG00000203880,55251
1304,Pik3ca,ENSMUSG00000027665,18706,PIK3CA,ENSG00000121879,5290
1305,Gnb4,ENSMUSG00000027669,14696,GNB4,ENSG00000114450,59345
1306,Ocstamp,ENSMUSG00000027670,74614,OCSTAMP,ENSG00000149635,128506
1307,Ttc14,ENSMUSG00000027677,67120,TTC14,ENSG00000163728,151613
1308,Fxr1,ENSMUSG00000027680,14359,FXR1,ENSG00000114416,8087
1309,Pld1,ENSMUSG00000027695,18805,PLD1,ENSG00000075651,5337
1310,Nceh1,ENSMUSG00000027698,320024,NCEH1,ENSG00000144959,57552
1311,Lrriq4,ENSMUSG00000027703,68307,LRRIQ4,ENSG00000188306,344657
1312,Dcun1d1,ENSMUSG00000027708,114893,DCUN1D1,ENSG00000043093,54165
1313,Il21,ENSMUSG00000027718,60505,IL21,ENSG00000138684,59067
1314,Adad1,ENSMUSG00000027719,21744,ADAD1,ENSG00000164113,132612
1315,Il2,ENSMUSG00000027720,16183,IL2,ENSG00000109471,3558
1316,Spata5,ENSMUSG00000027722,57815,SPATA5,ENSG00000145375,166378
1317,Rab33b,ENSMUSG00000027739,19338,RAB33B,ENSG00000172007,83452
1318,Cog6,ENSMUSG00000027742,67542,COG6,ENSG00000133103,57511
1319,Mfsd1,ENSMUSG00000027775,66868,MFSD1,ENSG00000118855,64747
1320,Kpna4,ENSMUSG00000027782,16649,KPNA4,ENSG00000186432,3840
1321,Ppm1l,ENSMUSG00000027784,242083,PPM1L,ENSG00000163590,151742
1322,Nmd3,ENSMUSG00000027787,97112,NMD3,ENSG00000169251,51068
1323,Otol1,ENSMUSG00000027788,229389,OTOL1,ENSG00000182447,131149
1324,Sis,ENSMUSG00000027790,69983,SI,ENSG00000090402,6476
1325,Bche,ENSMUSG00000027792,12038,BCHE,ENSG00000114200,590
1326,Ccna1,ENSMUSG00000027793,12427,CCNA1,ENSG00000133101,8900
1327,Ppid,ENSMUSG00000027804,67738,PPID,ENSG00000171497,5481
1328,Etfdh,ENSMUSG00000027809,66841,ETFDH,ENSG00000171503,2110
1329,4930579G24Rik,ENSMUSG00000027811,75939,C4orf46,ENSG00000205208,201725
1330,Gmps,ENSMUSG00000027823,229363,GMPS,ENSG00000163655,8833
1331,Kcnab1,ENSMUSG00000027827,16497,KCNAB1,ENSG00000169282,7881
1332,Ssr3,ENSMUSG00000027828,67437,SSR3,ENSG00000114850,6747
1333,Ccnl1,ENSMUSG00000027829,56706,CCNL1,ENSG00000163660,57018
1334,Serpini1,ENSMUSG00000027834,20713,SERPINI1,ENSG00000163536,5274
1335,Tchhl1,ENSMUSG00000027908,71325,TCHHL1,ENSG00000182898,126637
1336,Rab13,ENSMUSG00000027935,68328,RAB13,ENSG00000143545,5872
1337,Crtc2,ENSMUSG00000027936,74343,CRTC2,ENSG00000160741,200186
1338,Gask1b,ENSMUSG00000027955,68659,GASK1B,ENSG00000164125,51313
1339,Tmem144,ENSMUSG00000027956,70652,TMEM144,ENSG00000164124,55314
1340,Cyp2u1,ENSMUSG00000027983,71519,CYP2U1,ENSG00000155016,113612
1341,Hadh,ENSMUSG00000027984,15107,HADH,ENSG00000138796,3033
1342,Lef1,ENSMUSG00000027985,16842,LEF1,ENSG00000138795,51176
1343,Trim2,ENSMUSG00000027993,80890,TRIM2,ENSG00000109654,23321
1344,Tlr2,ENSMUSG00000027995,24088,TLR2,ENSG00000137462,7097
1345,Sfrp2,ENSMUSG00000027996,20319,SFRP2,ENSG00000145423,6423
1346,Plrg1,ENSMUSG00000027998,53317,PLRG1,ENSG00000171566,5356
1347,Fga,ENSMUSG00000028001,14161,FGA,ENSG00000171560,2243
1348,Lrat,ENSMUSG00000028003,79235,LRAT,ENSG00000121207,9227
1349,Npy2r,ENSMUSG00000028004,18167,NPY2R,ENSG00000185149,4887
1350,Gucy1b1,ENSMUSG00000028005,54195,GUCY1B1,ENSG00000061918,2983
1351,Asic5,ENSMUSG00000028008,58170,ASIC5,ENSG00000256394,51802
1352,Aimp1,ENSMUSG00000028029,13722,AIMP1,ENSG00000164022,9255
1353,Tbck,ENSMUSG00000028030,271981,TBCK,ENSG00000145348,93627
1354,Dkk2,ENSMUSG00000028031,56811,DKK2,ENSG00000155011,27123
1355,Papss1,ENSMUSG00000028032,23971,PAPSS1,ENSG00000138801,9061
1356,Dclk2,ENSMUSG00000028078,70762,DCLK2,ENSG00000170390,166614
1357,Lrba,ENSMUSG00000028080,80877,LRBA,ENSG00000198589,987
1358,Sh3d19,ENSMUSG00000028082,27059,SH3D19,ENSG00000109686,152503
1359,Gatb,ENSMUSG00000028085,229487,GATB,ENSG00000059691,5188
1360,Ecm1,ENSMUSG00000028108,13601,ECM1,ENSG00000143369,1893
1361,Snx27,ENSMUSG00000028136,76742,SNX27,ENSG00000143376,81609
1362,Mrpl9,ENSMUSG00000028140,78523,MRPL9,ENSG00000143436,65005
1363,Oaz3,ENSMUSG00000028141,53814,OAZ3,ENSG00000143450,51686
1364,Depdc1a,ENSMUSG00000028175,76131,DEPDC1,ENSG00000024526,55635
1365,Cth,ENSMUSG00000028179,107869,CTH,ENSG00000116761,1491
1366,Lrriq3,ENSMUSG00000028182,74435,LRRIQ3,ENSG00000162620,127255
1367,Decr1,ENSMUSG00000028223,67460,DECR1,ENSG00000104325,1666
1368,Cpne3,ENSMUSG00000028228,70568,CPNE3,ENSG00000085719,8895
1369,Rmdn1,ENSMUSG00000028229,66302,RMDN1,ENSG00000176623,51115
1370,Atp6v0d2,ENSMUSG00000028238,242341,ATP6V0D2,ENSG00000147614,245972
1371,Pnisr,ENSMUSG00000028248,66625,PNISR,ENSG00000132424,25957
1372,Ccnc,ENSMUSG00000028252,51813,CCNC,ENSG00000112237,892
1373,Kdm4c,ENSMUSG00000028397,76804,KDM4C,ENSG00000107077,23081
1374,Dmac1,ENSMUSG00000028398,66928,DMAC1,ENSG00000137038,90871
1375,Ptprd,ENSMUSG00000028399,19266,PTPRD,ENSG00000153707,5789
1376,Mpdz,ENSMUSG00000028402,17475,MPDZ,ENSG00000107186,8777
1377,Dnaja1,ENSMUSG00000028410,15502,DNAJA1,ENSG00000086061,3301
1378,Aptx,ENSMUSG00000028411,66408,APTX,ENSG00000137074,54840
1379,Nudt2,ENSMUSG00000028443,66401,NUDT2,ENSG00000164978,318
1380,Snapc3,ENSMUSG00000028483,77634,SNAPC3,ENSG00000164975,6619
1381,Saxo1,ENSMUSG00000028492,75811,SAXO1,ENSG00000155875,158297
1382,Hacd4,ENSMUSG00000028497,66775,HACD4,ENSG00000188921,401494
1383,Dnajc6,ENSMUSG00000028528,72685,DNAJC6,ENSG00000116675,9829
1384,Izumo3,ENSMUSG00000028533,69314,IZUMO3,ENSG00000205442,100129669
1385,2610528J11Rik,ENSMUSG00000028536,66451,C1orf210,ENSG00000253313,149466
1386,St3gal3,ENSMUSG00000028538,20441,ST3GAL3,ENSG00000126091,6487
1387,Slc6a9,ENSMUSG00000028542,14664,SLC6A9,ENSG00000196517,6536
1388,Angptl3,ENSMUSG00000028553,30924,ANGPTL3,ENSG00000132855,27329
1389,Tm2d1,ENSMUSG00000028563,94043,TM2D1,ENSG00000162604,83941
1390,Btf3l4,ENSMUSG00000028568,70533,BTF3L4,ENSG00000134717,91408
1391,Fggy,ENSMUSG00000028573,75578,FGGY,ENSG00000172456,55277
1392,Caap1,ENSMUSG00000028578,67770,CAAP1,ENSG00000120159,79886
1393,Podn,ENSMUSG00000028600,242608,PODN,ENSG00000174348,127435
1394,Echdc2,ENSMUSG00000028601,52430,ECHDC2,ENSG00000121310,55268
1395,Dmrtb1,ENSMUSG00000028610,56296,DMRTB1,ENSG00000143006,63948
1396,Col9a2,ENSMUSG00000028626,12840,COL9A2,ENSG00000049089,1298
1397,Exo5,ENSMUSG00000028629,73172,EXO5,ENSG00000164002,64789
1398,Kcnq4,ENSMUSG00000028631,60613,KCNQ4,ENSG00000117013,9132
1399,Ctps,ENSMUSG00000028633,51797,CTPS1,ENSG00000171793,1503
1400,Hivep3,ENSMUSG00000028634,16656,HIVEP3,ENSG00000127124,59269
1401,Tfap2c,ENSMUSG00000028640,21420,TFAP2C,ENSG00000087510,7022
1402,Svbp,ENSMUSG00000028643,69216,SVBP,ENSG00000177868,374969
1403,Ermap,ENSMUSG00000028644,27028,ERMAP,ENSG00000164010,114625
1404,Slc2a1,ENSMUSG00000028645,20525,SLC2A1,ENSG00000117394,6513
1405,Cap1,ENSMUSG00000028656,12331,CAP1,ENSG00000131236,10487
1406,Ppt1,ENSMUSG00000028657,19063,PPT1,ENSG00000131238,5538
1407,Epha8,ENSMUSG00000028661,13842,EPHA8,ENSG00000070886,2046
1408,Ephb2,ENSMUSG00000028664,13844,EPHB2,ENSG00000133216,2048
1409,Pnrc2,ENSMUSG00000028675,52830,PNRC2,ENSG00000189266,55629
1410,Rnf220,ENSMUSG00000028677,66743,RNF220,ENSG00000187147,55182
1411,Kif2c,ENSMUSG00000028678,73804,KIF2C,ENSG00000142945,11004
1412,Plk3,ENSMUSG00000028680,12795,PLK3,ENSG00000173846,1263
1413,Ptch2,ENSMUSG00000028681,19207,PTCH2,ENSG00000117425,8643
1414,Toe1,ENSMUSG00000028688,68276,TOE1,ENSG00000132773,114034
1415,Mmachc,ENSMUSG00000028690,67096,MMACHC,ENSG00000132763,25974
1416,Prdx1,ENSMUSG00000028691,18477,PRDX1,ENSG00000117450,5052
1417,Akr1a1,ENSMUSG00000028692,58810,AKR1A1,ENSG00000117448,10327
1418,Nasp,ENSMUSG00000028693,50927,NASP,ENSG00000132780,4678
1419,Ipp,ENSMUSG00000028696,16351,IPP,ENSG00000197429,3652
1420,Pik3r3,ENSMUSG00000028698,18710,PIK3R3,ENSG00000117461,8503
1421,Tspan1,ENSMUSG00000028699,66805,TSPAN1,ENSG00000117472,10103
1422,Pomgnt1,ENSMUSG00000028700,68273,POMGNT1,ENSG00000085998,55624
1423,Pomgnt1,ENSMUSG00000028700,76786,POMGNT1,ENSG00000085998,55624
1424,Lurap1,ENSMUSG00000028701,68075,LURAP1,ENSG00000171357,541468
1425,Rad54l,ENSMUSG00000028702,19366,RAD54L,ENSG00000085999,8438
1426,Lrrc41,ENSMUSG00000028703,230654,LRRC41,ENSG00000132128,10489
1427,Nsun4,ENSMUSG00000028706,72181,NSUN4,ENSG00000117481,387338
1428,Dmbx1,ENSMUSG00000028707,140477,DMBX1,ENSG00000197587,127343
1429,Mknk1,ENSMUSG00000028708,17346,MKNK1,ENSG00000079277,8569
1430,Atpaf1,ENSMUSG00000028710,230649,ATPAF1,ENSG00000123472,64756
1431,Cyp4a31,ENSMUSG00000028712,666168,CYP4A22,ENSG00000162365,284541
1432,Tal1,ENSMUSG00000028717,21349,TAL1,ENSG00000162367,6886
1433,Ebna1bp2,ENSMUSG00000028729,69072,EBNA1BP2,ENSG00000117395,10969
1434,Cfap57,ENSMUSG00000028730,68625,CFAP57,ENSG00000243710,149465
1435,Hspg2,ENSMUSG00000028763,15530,HSPG2,ENSG00000142798,3339
1436,Nipal3,ENSMUSG00000028803,74552,NIPAL3,ENSG00000001461,57185
1437,Maco1,ENSMUSG00000028826,66146,MACO1,ENSG00000204178,55219
1438,Zfp593,ENSMUSG00000028840,68040,ZNF593,ENSG00000142684,51042
1439,Cd164l2,ENSMUSG00000028865,69655,CD164L2,ENSG00000174950,388611
1440,Ppp1r8,ENSMUSG00000028882,100336,PPP1R8,ENSG00000117751,5511
1441,Nub1,ENSMUSG00000028954,53312,NUB1,ENSG00000013374,51667
1442,Ints11,ENSMUSG00000029034,71957,INTS11,ENSG00000127054,54973
1443,Rer1,ENSMUSG00000029048,67830,RER1,ENSG00000157916,11079
1444,Gabrd,ENSMUSG00000029054,14403,GABRD,ENSG00000187730,2563
1445,Gnb1,ENSMUSG00000029064,14688,GNB1,ENSG00000078369,2782
1446,Kcnip4,ENSMUSG00000029088,80334,KCNIP4,ENSG00000185774,80333
1447,5730480H06Rik,ENSMUSG00000029089,66768,PACRGL,ENSG00000163138,133015
1448,5730480H06Rik,ENSMUSG00000029089,70592,PACRGL,ENSG00000163138,133015
1449,Adgra3,ENSMUSG00000029090,70693,ADGRA3,ENSG00000152990,166647
1450,Rnf4,ENSMUSG00000029110,19822,RNF4,ENSG00000063978,6047
1451,Nelfa,ENSMUSG00000029111,24116,NELFA,ENSG00000185049,7469
1452,Nkx1-1,ENSMUSG00000029112,672284,NKX1-1,ENSG00000235608,54729
1453,Plb1,ENSMUSG00000029134,665270,PLB1,ENSG00000163803,151056
1454,Eif2b4,ENSMUSG00000029145,13667,EIF2B4,ENSG00000115211,8890
1455,Nrbp1,ENSMUSG00000029148,192292,NRBP1,ENSG00000115216,29959
1456,Tbc1d1,ENSMUSG00000029174,57915,TBC1D1,ENSG00000065882,23216
1457,Slc34a2,ENSMUSG00000029188,20531,SLC34A2,ENSG00000157765,10568
1458,Rfc1,ENSMUSG00000029191,19687,RFC1,ENSG00000035928,5981
1459,Rhoh,ENSMUSG00000029204,74734,RHOH,ENSG00000168421,399
1460,Fgf5,ENSMUSG00000029337,14176,FGF5,ENSG00000138675,2250
1461,Crybb1,ENSMUSG00000029343,12960,CRYBB1,ENSG00000100122,1414
1462,Tpst2,ENSMUSG00000029344,22022,TPST2,ENSG00000128294,8459
1463,Tfip11,ENSMUSG00000029345,54723,TFIP11,ENSG00000100109,24144
1464,Srrd,ENSMUSG00000029346,70118,SRRD,ENSG00000100104,402055
1465,Asphd2,ENSMUSG00000029348,72898,ASPHD2,ENSG00000128203,57168
1466,Crybb3,ENSMUSG00000029352,12962,CRYBB3,ENSG00000100053,1417
1467,Nos1,ENSMUSG00000029361,18125,NOS1,ENSG00000089250,4842
1468,Rfc5,ENSMUSG00000029363,72151,RFC5,ENSG00000111445,5985
1469,Wsb2,ENSMUSG00000029364,59043,WSB2,ENSG00000176871,55884
1470,Alb,ENSMUSG00000029368,11657,ALB,ENSG00000163631,213
1471,Rassf6,ENSMUSG00000029370,73246,RASSF6,ENSG00000169435,166824
1472,Cxcl5,ENSMUSG00000029371,20311,CXCL6,ENSG00000124875,6372
1473,Ppbp,ENSMUSG00000029372,57349,PPBP,ENSG00000163736,5473
1474,Slc15a4,ENSMUSG00000029416,100561,SLC15A4,ENSG00000139370,121260
1475,Piwil1,ENSMUSG00000029423,57749,PIWIL1,ENSG00000125207,9271
1476,Scarb2,ENSMUSG00000029426,12492,SCARB2,ENSG00000138760,950
1477,Mmp17,ENSMUSG00000029436,23948,MMP17,ENSG00000198598,4326
1478,Sfswap,ENSMUSG00000029439,231769,SFSWAP,ENSG00000061936,6433
1479,Psmd9,ENSMUSG00000029440,67151,PSMD9,ENSG00000110801,5715
1480,Wdr66,ENSMUSG00000029442,269701,CFAP251,ENSG00000158023,144406
1481,Aldh2,ENSMUSG00000029455,11669,ALDH2,ENSG00000111275,217
1482,Acad10,ENSMUSG00000029456,71985,ACAD10,ENSG00000111271,80724
1483,Brap,ENSMUSG00000029458,72399,BRAP,ENSG00000089234,8315
1484,Arpc3,ENSMUSG00000029465,56378,ARPC3,ENSG00000111229,10094
1485,Anapc7,ENSMUSG00000029466,56317,ANAPC7,ENSG00000196510,51434
1486,Atp2a2,ENSMUSG00000029467,11938,ATP2A2,ENSG00000174437,488
1487,P2rx7,ENSMUSG00000029468,18439,P2RX7,ENSG00000089041,5027
1488,Ift81,ENSMUSG00000029469,12589,IFT81,ENSG00000122970,28981
1489,Kdm2b,ENSMUSG00000029475,30841,KDM2B,ENSG00000089094,84678
1490,Aacs,ENSMUSG00000029482,78894,AACS,ENSG00000081760,65985
1491,Ddx51,ENSMUSG00000029504,69663,DDX51,ENSG00000185163,317781
1492,Chek2,ENSMUSG00000029521,50883,CHEK2,ENSG00000183765,11200
1493,Pla2g1b,ENSMUSG00000029522,18778,PLA2G1B,ENSG00000170890,5319
1494,Ccr9,ENSMUSG00000029530,12769,CCR9,ENSG00000173585,10803
1495,Cyp2w1,ENSMUSG00000029541,545817,CYP2W1,ENSG00000073067,54905
1496,Acads,ENSMUSG00000029545,11409,ACADS,ENSG00000122971,35
1497,Uncx,ENSMUSG00000029546,22255,UNCX,ENSG00000164853,340260
1498,Ints1,ENSMUSG00000029547,68510,INTS1,ENSG00000164880,26173
1499,Sppl3,ENSMUSG00000029550,74585,SPPL3,ENSG00000157837,121665
