human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,human_entrez,mouse_entrez
ING3,Ing3,ENSG00000071243,ENSMUSG00000029670,54556,71777
ING4,Ing4,ENSG00000111653,ENSMUSG00000030330,51147,28019
ING5,Ing5,ENSG00000168395,ENSMUSG00000026283,84289,66262
INHA,Inha,ENSG00000123999,ENSMUSG00000032968,3623,16322
INHBA,Inhba,ENSG00000122641,ENSMUSG00000041324,3624,16323
INHBB,Inhbb,ENSG00000163083,ENSMUSG00000037035,3625,16324
INHBC,Inhbc,ENSG00000175189,ENSMUSG00000025405,3626,16325
INHBE,Inhbe,ENSG00000139269,ENSMUSG00000047492,83729,16326
INIP,Inip,ENSG00000148153,ENSMUSG00000038544,58493,66209
INKA1,Inka1,ENSG00000185614,ENSMUSG00000042106,389119,68176
INKA2,Inka2,ENSG00000197852,ENSMUSG00000048458,55924,109050
INMT,Inmt,ENSG00000241644,ENSMUSG00000003477,11185,21743
INO80,Ino80,ENSG00000128908,ENSMUSG00000034154,54617,68142
INO80B,Ino80b,ENSG00000115274,ENSMUSG00000030034,83444,70020
INO80C,Ino80c,ENSG00000153391,ENSMUSG00000047989,125476,225280
INO80D,Ino80d,ENSG00000283510,ENSMUSG00000040865,54891,227195
INO80D,Ino80d,ENSG00000114933,ENSMUSG00000040865,54891,227195
INO80E,Ino80e,ENSG00000169592,ENSMUSG00000030689,283899,233875
INPP1,Inpp1,ENSG00000151689,ENSMUSG00000026102,3628,16329
INPP4A,Inpp4a,ENSG00000040933,ENSMUSG00000026113,3631,269180
INPP4B,Inpp4b,ENSG00000109452,ENSMUSG00000037940,8821,234515
INPP5A,Inpp5a,ENSG00000068383,ENSMUSG00000025477,3632,212111
INPP5B,Inpp5b,ENSG00000204084,ENSMUSG00000028894,3633,16330
INPP5D,Inpp5d,ENSG00000168918,ENSMUSG00000026288,3635,16331
INPP5D,Inpp5d,ENSG00000281614,ENSMUSG00000026288,3635,16331
INPP5E,Inpp5e,ENSG00000148384,ENSMUSG00000026925,56623,64436
INPP5F,Inpp5f,ENSG00000198825,ENSMUSG00000042105,22876,101490
INPP5J,Inpp5j,ENSG00000185133,ENSMUSG00000034570,27124,170835
INPP5K,Inpp5k,ENSG00000132376,ENSMUSG00000006127,51763,19062
INPPL1,Inppl1,ENSG00000165458,ENSMUSG00000032737,3636,16332
INS,Ins2,ENSG00000254647,ENSMUSG00000000215,3630,16334
INS,Ins1,ENSG00000254647,ENSMUSG00000035804,3630,16333
INSC,Insc,ENSG00000188487,ENSMUSG00000048782,387755,233752
INSIG1,Insig1,ENSG00000186480,ENSMUSG00000045294,3638,231070
INSIG2,Insig2,ENSG00000125629,ENSMUSG00000003721,51141,72999
INSL3,Insl3,ENSG00000248099,ENSMUSG00000079019,3640,16336
INSL5,Insl5,ENSG00000172410,ENSMUSG00000066090,10022,23919
INSL6,Insl6,ENSG00000120210,ENSMUSG00000050957,11172,27356
INSM1,Insm1,ENSG00000173404,ENSMUSG00000068154,3642,53626
INSM2,Insm2,ENSG00000168348,ENSMUSG00000045440,84684,56856
INSR,Insr,ENSG00000171105,ENSMUSG00000005534,3643,16337
INSRR,Insrr,ENSG00000027644,ENSMUSG00000005640,3645,23920
INSYN1,Insyn1,ENSG00000205363,ENSMUSG00000066607,388135,319477
INSYN2A,Insyn2a,ENSG00000188916,ENSMUSG00000073805,642938,627214
INSYN2B,Insyn2b,ENSG00000204767,ENSMUSG00000069911,100131897,574403
INTS1,Ints1,ENSG00000164880,ENSMUSG00000029547,26173,68510
INTS10,Ints10,ENSG00000104613,ENSMUSG00000031864,55174,70885
INTS11,Ints11,ENSG00000127054,ENSMUSG00000029034,54973,71957
INTS12,Ints12,ENSG00000138785,ENSMUSG00000028016,57117,71793
INTS13,Ints13,ENSG00000064102,ENSMUSG00000040250,55726,71177
INTS14,Ints14,ENSG00000138614,ENSMUSG00000034263,81556,69882
INTS2,Ints2,ENSG00000108506,ENSMUSG00000018068,57508,70422
INTS3,Ints3,ENSG00000143624,ENSMUSG00000027933,65123,229543
INTS3,Ints3,ENSG00000262826,ENSMUSG00000027933,65123,229543
INTS4,Ints4,ENSG00000149262,ENSMUSG00000025133,92105,101861
INTS5,Ints5,ENSG00000185085,ENSMUSG00000071652,80789,109077
INTS6,Ints6,ENSG00000102786,ENSMUSG00000035161,26512,18130
INTS6L,Ints6l,ENSG00000165359,ENSMUSG00000035967,203522,236790
INTS7,Ints7,ENSG00000143493,ENSMUSG00000037461,25896,77065
INTS8,Ints8,ENSG00000164941,ENSMUSG00000040738,55656,72656
INTS9,Ints9,ENSG00000104299,ENSMUSG00000021975,55756,210925
INTU,Intu,ENSG00000164066,ENSMUSG00000060798,27152,380614
INVS,Invs,ENSG00000119509,ENSMUSG00000028344,27130,16348
IP6K1,Ip6k1,ENSG00000176095,ENSMUSG00000032594,9807,27399
IP6K2,Ip6k2,ENSG00000068745,ENSMUSG00000032599,51447,76500
IP6K3,Ip6k3,ENSG00000161896,ENSMUSG00000024210,117283,271424
IPCEF1,Ipcef1,ENSG00000074706,ENSMUSG00000064065,26034,320495
IPMK,Ipmk,ENSG00000151151,ENSMUSG00000060733,253430,69718
IPO11,Ipo11,ENSG00000086200,ENSMUSG00000042590,51194,76582
IPO13,Ipo13,ENSG00000117408,ENSMUSG00000033365,9670,230673
IPO4,Ipo4,ENSG00000285248,ENSMUSG00000002319,79711,75751
IPO4,Ipo4,ENSG00000196497,ENSMUSG00000002319,79711,75751
IPO5,Ipo5,ENSG00000065150,ENSMUSG00000030662,3843,70572
IPO7,Ipo7,ENSG00000205339,ENSMUSG00000066232,10527,233726
IPO8,Ipo8,ENSG00000133704,ENSMUSG00000040029,10526,320727
IPO9,Ipo9,ENSG00000198700,ENSMUSG00000041879,55705,226432
IPP,Ipp,ENSG00000197429,ENSMUSG00000028696,3652,16351
IPPK,Ippk,ENSG00000127080,ENSMUSG00000021385,64768,75678
IQANK1,Iqank1,ENSG00000203499,ENSMUSG00000102018,642574,432964
IQCA1,Iqca,ENSG00000132321,ENSMUSG00000026301,79781,74918
IQCA1L,Iqca1l,ENSG00000278685,ENSMUSG00000038199,392843,231045
IQCB1,Iqcb1,ENSG00000173226,ENSMUSG00000022837,9657,320299
IQCC,Iqcc,ENSG00000160051,ENSMUSG00000040795,55721,230767
IQCD,Iqcd,ENSG00000166578,ENSMUSG00000029601,115811,75732
IQCF1,Iqcf1,ENSG00000173389,ENSMUSG00000066383,132141,74267
IQCF3,Iqcf3,ENSG00000229972,ENSMUSG00001074846,401067,68265
IQCF5,Iqcf5,ENSG00000214681,ENSMUSG00000066382,389124,75470
IQCF6,Iqcf6,ENSG00000214686,ENSMUSG00000091129,440956,100041096
IQCG,Iqcg,ENSG00000114473,ENSMUSG00000035578,84223,69707
IQCH,Iqch,ENSG00000103599,ENSMUSG00000037801,64799,78250
IQCJ,Iqcj,ENSG00000214216,ENSMUSG00000051777,654502,208426
IQCJ-SCHIP1,Schip1,ENSG00000283154,ENSMUSG00000027777,29970,30953
IQCJ-SCHIP1,Iqschfp,ENSG00000283154,ENSMUSG00000102422,29970,100505386
IQCJ-SCHIP1,Iqschfp,ENSG00000283154,ENSMUSG00000102422,100505385,100505386
IQCJ-SCHIP1,Schip1,ENSG00000283154,ENSMUSG00000027777,100505385,30953
IQCK,Iqck,ENSG00000174628,ENSMUSG00000073856,124152,434232
IQCM,Iqcm,ENSG00000234828,ENSMUSG00000031620,285423,71831
IQCN,Iqcn,ENSG00000130518,ENSMUSG00000110622,80726,637079
IQGAP1,Iqgap1,ENSG00000140575,ENSMUSG00000030536,8826,29875
IQGAP2,Iqgap2,ENSG00000145703,ENSMUSG00000021676,10788,544963
IQGAP3,Iqgap3,ENSG00000183856,ENSMUSG00000028068,128239,404710
IQSEC1,Iqsec1,ENSG00000144711,ENSMUSG00000034312,9922,232227
IQSEC2,Iqsec2,ENSG00000124313,ENSMUSG00000041115,23096,245666
IQSEC3,Iqsec3,ENSG00000120645,ENSMUSG00000040797,440073,243621
IQSEC3,Iqsec3,ENSG00000262607,ENSMUSG00000040797,440073,243621
IQUB,Iqub,ENSG00000164675,ENSMUSG00000046192,154865,214704
IRAG1,Irag1,ENSG00000072952,ENSMUSG00000005611,10335,17540
IRAG2,Lrmp,ENSG00000118308,ENSMUSG00000030263,4033,16970
IRAK1,Irak1,ENSG00000184216,ENSMUSG00000031392,3654,16179
IRAK1BP1,Irak1bp1,ENSG00000146243,ENSMUSG00000032251,134728,65099
IRAK2,Irak2,ENSG00000134070,ENSMUSG00000060477,3656,108960
IRAK3,Irak3,ENSG00000090376,ENSMUSG00000020227,11213,73914
IRAK4,Irak4,ENSG00000198001,ENSMUSG00000059883,51135,266632
IREB2,Ireb2,ENSG00000136381,ENSMUSG00000032293,3658,64602
IRF1,Irf1,ENSG00000125347,ENSMUSG00000018899,3659,16362
IRF2,Irf2,ENSG00000168310,ENSMUSG00000031627,3660,16363
IRF2BP1,Irf2bp1,ENSG00000170604,ENSMUSG00000044030,26145,272359
IRF2BP2,Irf2bp2,ENSG00000168264,ENSMUSG00000051495,359948,270110
IRF2BPL,Irf2bpl,ENSG00000119669,ENSMUSG00000034168,64207,238330
IRF3,Irf3,ENSG00000126456,ENSMUSG00000003184,3661,54131
IRF4,Irf4,ENSG00000137265,ENSMUSG00000021356,3662,16364
IRF5,Irf5,ENSG00000128604,ENSMUSG00000029771,3663,27056
IRF6,Irf6,ENSG00000117595,ENSMUSG00000026638,3664,54139
IRF7,Irf7,ENSG00000276561,ENSMUSG00000025498,3665,54123
IRF7,Irf7,ENSG00000185507,ENSMUSG00000025498,3665,54123
IRF8,Irf8,ENSG00000140968,ENSMUSG00000041515,3394,15900
IRF9,Irf9,ENSG00000285048,ENSMUSG00000002325,10379,16391
IRF9,Irf9,ENSG00000213928,ENSMUSG00000002325,10379,16391
IRGC,Irgc1,ENSG00000124449,ENSMUSG00000062028,56269,210145
IRGM,Igtp,ENSG00000237693,ENSMUSG00000078853,345611,16145
IRGM,Irgm1,ENSG00000237693,ENSMUSG00000046879,345611,15944
IRGM,Irgm2,ENSG00000237693,ENSMUSG00000069874,345611,54396
IRGQ,Irgq,ENSG00000167378,ENSMUSG00000041037,126298,210146
IRS1,Irs1,ENSG00000169047,ENSMUSG00000055980,3667,16367
IRS2,Irs2,ENSG00000185950,ENSMUSG00000038894,8660,384783
IRS4,Irs4,ENSG00000133124,ENSMUSG00000054667,8471,16370
IRX1,Irx1,ENSG00000170549,ENSMUSG00000060969,79192,16371
IRX2,Irx2,ENSG00000170561,ENSMUSG00000001504,153572,16372
IRX3,Irx3,ENSG00000177508,ENSMUSG00000031734,79191,16373
IRX4,Irx4,ENSG00000113430,ENSMUSG00000021604,50805,50916
IRX5,Irx5,ENSG00000176842,ENSMUSG00000031737,10265,54352
IRX6,Irx6,ENSG00000159387,ENSMUSG00000031738,79190,64379
ISCA1,Isca1,ENSG00000135070,ENSMUSG00000044792,81689,69046
ISCA1,AK157302,ENSG00000135070,ENSMUSG00000078139,81689,-1
ISCA2,Isca2,ENSG00000165898,ENSMUSG00000021241,122961,74316
ISG15,Isg15,ENSG00000187608,ENSMUSG00000035692,9636,100038882
ISG20,Isg20,ENSG00000172183,ENSMUSG00000039236,3669,57444
ISG20L2,Isg20l2,ENSG00000143319,ENSMUSG00000048039,81875,229504
ISL1,Isl1,ENSG00000016082,ENSMUSG00000042258,3670,16392
ISL2,Isl2,ENSG00000159556,ENSMUSG00000032318,64843,104360
ISLR,Islr,ENSG00000288508,ENSMUSG00000037206,3671,26968
ISLR,Islr,ENSG00000129009,ENSMUSG00000037206,3671,26968
ISLR2,Islr2,ENSG00000167178,ENSMUSG00000051243,57611,320563
ISM1,Ism1,ENSG00000101230,ENSMUSG00000074766,140862,319909
ISM2,Ism2,ENSG00000100593,ENSMUSG00000050671,145501,217738
ISOC1,Isoc1,ENSG00000066583,ENSMUSG00000024601,51015,66307
ISOC2,Isoc2b,ENSG00000063241,ENSMUSG00000052605,79763,67441
ISOC2,Isoc2a,ENSG00000063241,ENSMUSG00000086784,79763,664994
IST1,Ist1,ENSG00000182149,ENSMUSG00000031729,9798,71955
ISX,Isx,ENSG00000175329,ENSMUSG00000031621,91464,71597
ISY1,Isy1,ENSG00000240682,ENSMUSG00000030056,57461,57905
ISY1-RAB43,Isy1,ENSG00000261796,ENSMUSG00000030056,100534599,57905
ISYNA1,Isyna1,ENSG00000105655,ENSMUSG00000019139,51477,71780
ITCH,Itch,ENSG00000078747,ENSMUSG00000027598,83737,16396
ITFG1,Itfg1,ENSG00000129636,ENSMUSG00000031703,81533,71927
ITFG2,Itfg2,ENSG00000111203,ENSMUSG00000001518,55846,101142
ITGA1,Itga1,ENSG00000213949,ENSMUSG00000042284,3672,109700
ITGA10,Gm42957,ENSG00000143127,ENSMUSG00000106447,8515,-1
ITGA10,Itga10,ENSG00000143127,ENSMUSG00000090210,8515,213119
ITGA11,Itga11,ENSG00000137809,ENSMUSG00000032243,22801,319480
ITGA2,Itga2,ENSG00000164171,ENSMUSG00000015533,3673,16398
ITGA2B,Itga2b,ENSG00000005961,ENSMUSG00000034664,3674,16399
ITGA3,Itga3,ENSG00000005884,ENSMUSG00000001507,3675,16400
ITGA4,Itga4,ENSG00000115232,ENSMUSG00000027009,3676,16401
ITGA5,Itga5,ENSG00000161638,ENSMUSG00000000555,3678,16402
ITGA6,Itga6,ENSG00000091409,ENSMUSG00000027111,3655,16403
ITGA7,Itga7,ENSG00000135424,ENSMUSG00000025348,3679,16404
ITGA8,Itga8,ENSG00000077943,ENSMUSG00000026768,8516,241226
ITGA9,Itga9,ENSG00000144668,ENSMUSG00000039115,3680,104099
ITGAD,Itgad,ENSG00000156886,ENSMUSG00000070369,3681,381924
ITGAE,Itgae,ENSG00000083457,ENSMUSG00000005947,3682,16407
ITGAL,Itgal,ENSG00000005844,ENSMUSG00000030830,3683,16408
ITGAM,Itgam,ENSG00000169896,ENSMUSG00000030786,3684,16409
ITGAM,Gm49368,ENSG00000169896,ENSMUSG00000108596,3684,-1
ITGAV,Itgav,ENSG00000138448,ENSMUSG00000027087,3685,16410
ITGAX,Itgax,ENSG00000140678,ENSMUSG00000030789,3687,16411
ITGB1,Itgb1,ENSG00000150093,ENSMUSG00000025809,3688,16412
ITGB1BP1,Itgb1bp1,ENSG00000119185,ENSMUSG00000062352,9270,16413
ITGB1BP1,Itgb1bp1,ENSG00000119185,ENSMUSG00000062352,9270,105245391
ITGB1BP2,Itgb1bp2,ENSG00000147166,ENSMUSG00000031312,26548,26549
ITGB2,Itgb2,ENSG00000160255,ENSMUSG00000000290,3689,16414
ITGB2,Itgb2l,ENSG00000160255,ENSMUSG00000000157,3689,16415
ITGB3,Itgb3,ENSG00000259207,ENSMUSG00000020689,3690,16416
ITGB3BP,Itgb3bp,ENSG00000142856,ENSMUSG00000028549,23421,67733
ITGB4,Itgb4,ENSG00000132470,ENSMUSG00000020758,3691,192897
ITGB5,Itgb5,ENSG00000082781,ENSMUSG00000022817,3693,16419
ITGB6,Itgb6,ENSG00000115221,ENSMUSG00000026971,3694,16420
ITGB7,Itgb7,ENSG00000139626,ENSMUSG00000001281,3695,16421
ITGB8,Itgb8,ENSG00000105855,ENSMUSG00000025321,3696,320910
ITGBL1,Itgbl1,ENSG00000198542,ENSMUSG00000032925,9358,223272
ITIH1,Itih1,ENSG00000055957,ENSMUSG00000006529,3697,16424
ITIH2,Itih2,ENSG00000151655,ENSMUSG00000037254,3698,16425
ITIH3,Itih3,ENSG00000162267,ENSMUSG00000006522,3699,16426
ITIH4,Itih4,ENSG00000055955,ENSMUSG00000021922,3700,16427
ITIH5,Itih5,ENSG00000123243,ENSMUSG00000025780,80760,209378
ITK,Itk,ENSG00000113263,ENSMUSG00000020395,3702,16428
ITLN1,Itln1,ENSG00000179914,ENSMUSG00000038209,55600,493583
ITLN1,Itln1,ENSG00000179914,ENSMUSG00000038209,55600,16429
ITM2A,Itm2a,ENSG00000078596,ENSMUSG00000031239,9452,16431
ITM2B,Itm2b,ENSG00000136156,ENSMUSG00000022108,9445,16432
ITM2C,Itm2c,ENSG00000135916,ENSMUSG00000026223,81618,64294
ITPA,Itpa,ENSG00000125877,ENSMUSG00000074797,3704,16434
ITPK1,Itpk1,ENSG00000100605,ENSMUSG00000057963,3705,217837
ITPK1,Itpk1,ENSG00000274958,ENSMUSG00000057963,3705,217837
ITPKA,Itpka,ENSG00000137825,ENSMUSG00000027296,3706,228550
ITPKB,Itpkb,ENSG00000143772,ENSMUSG00000038855,3707,320404
ITPKC,Itpkc,ENSG00000086544,ENSMUSG00000003752,80271,233011
ITPR1,Itpr1,ENSG00000150995,ENSMUSG00000030102,3708,16438
ITPR2,Itpr2,ENSG00000123104,ENSMUSG00000030287,3709,16439
ITPR3,Itpr3,ENSG00000096433,ENSMUSG00000042644,3710,16440
ITPRID1,Itprid1,ENSG00000180347,ENSMUSG00000037973,223075,232016
ITPRID2,Itprid2,ENSG00000138434,ENSMUSG00000027007,6744,70599
ITPRIP,Itprip,ENSG00000148841,ENSMUSG00000117975,85450,414801
ITPRIPL1,Itpripl1,ENSG00000198885,ENSMUSG00000074825,150771,73338
ITPRIPL2,Itpripl2,ENSG00000205730,ENSMUSG00000095115,162073,319622
ITSN1,Itsn1,ENSG00000205726,ENSMUSG00000022957,6453,16443
ITSN2,Itsn2,ENSG00000198399,ENSMUSG00000020640,50618,20403
IVD,Ivd,ENSG00000128928,ENSMUSG00000027332,3712,56357
IVNS1ABP,Ivns1abp,ENSG00000116679,ENSMUSG00000023150,10625,117198
IWS1,Iws1,ENSG00000163166,ENSMUSG00000024384,55677,73473
IYD,Iyd,ENSG00000009765,ENSMUSG00000019762,389434,70337
IZUMO1,Izumo1,ENSG00000182264,ENSMUSG00000064158,284359,73456
IZUMO1R,Izumo1r,ENSG00000183560,ENSMUSG00000031933,390243,64931
IZUMO2,Izumo2,ENSG00000161652,ENSMUSG00000066500,126123,75510
IZUMO3,Izumo3,ENSG00000205442,ENSMUSG00000028533,100129669,69314
IZUMO4,Izumo4,ENSG00000099840,ENSMUSG00000055862,113177,71564
JADE1,Jade1,ENSG00000077684,ENSMUSG00000025764,79960,269424
JADE2,Jade2,ENSG00000043143,ENSMUSG00000020387,23338,76901
JADE3,Jade3,ENSG00000102221,ENSMUSG00000037315,9767,382207
JAG1,Jag1,ENSG00000101384,ENSMUSG00000027276,182,16449
JAG2,Jag2,ENSG00000184916,ENSMUSG00000002799,3714,16450
JAGN1,Jagn1,ENSG00000171135,ENSMUSG00000051256,84522,67767
JAK1,Jak1,ENSG00000162434,ENSMUSG00000028530,3716,16451
JAK2,Jak2,ENSG00000096968,ENSMUSG00000024789,3717,16452
JAK3,Jak3,ENSG00000105639,ENSMUSG00000031805,3718,16453
JAKMIP1,Jakmip1,ENSG00000152969,ENSMUSG00000063646,152789,76071
JAKMIP2,Jakmip2,ENSG00000176049,ENSMUSG00000024502,9832,76217
JAKMIP3,Jakmip3,ENSG00000188385,ENSMUSG00000056856,282973,74004
JAM2,Jam2,ENSG00000154721,ENSMUSG00000053062,58494,67374
JAM3,Jam3,ENSG00000166086,ENSMUSG00000031990,83700,83964
JARID2,Jarid2,ENSG00000008083,ENSMUSG00000038518,3720,16468
JAZF1,Jazf1,ENSG00000153814,ENSMUSG00000063568,221895,231986
JCAD,Jcad,ENSG00000165757,ENSMUSG00000033960,57608,240185
JCHAIN,Jchain,ENSG00000132465,ENSMUSG00000067149,3512,16069
JDP2,Jdp2,ENSG00000140044,ENSMUSG00000034271,122953,81703
JHY,Jhy,ENSG00000109944,ENSMUSG00000032023,79864,70989
JKAMP,Jkamp,ENSG00000050130,ENSMUSG00000005078,51528,104771
JKAMP,4931417E11Rik,ENSG00000050130,ENSMUSG00000056197,51528,66740
JMJD1C,Jmjd1c,ENSG00000171988,ENSMUSG00000037876,221037,108829
JMJD4,Jmjd4,ENSG00000081692,ENSMUSG00000036819,65094,194952
JMJD6,Jmjd6,ENSG00000070495,ENSMUSG00000056962,23210,107817
JMJD7,Jmjd7,ENSG00000243789,ENSMUSG00000098789,100137047,433466
JMJD7-PLA2G4B,Gm28042,ENSG00000168970,ENSMUSG00000033852,8681,-1
JMJD7-PLA2G4B,Pla2g4b,ENSG00000168970,ENSMUSG00000098488,8681,211429
JMJD8,Jmjd8,ENSG00000161999,ENSMUSG00000025736,339123,72106
JMY,Jmy,ENSG00000152409,ENSMUSG00000021690,133746,57748
JOSD1,Josd1,ENSG00000100221,ENSMUSG00000022426,9929,74158
JOSD2,Josd2,ENSG00000161677,ENSMUSG00000038695,126119,66124
JPH1,Jph1,ENSG00000104369,ENSMUSG00000042686,56704,57339
JPH2,Jph2,ENSG00000149596,ENSMUSG00000017817,57158,59091
JPH3,Jph3,ENSG00000154118,ENSMUSG00000025318,57338,57340
JPH4,Jph4,ENSG00000092051,ENSMUSG00000022208,84502,319984
JPT1,Jpt1,ENSG00000189159,ENSMUSG00000020737,51155,15374
JPT2,Jpt2,ENSG00000206053,ENSMUSG00000024165,90861,52009
JRK,Jrk,ENSG00000234616,ENSMUSG00000046380,8629,16469
JRKL,Jrkl,ENSG00000183340,ENSMUSG00000079083,8690,77532
JSRP1,Jsrp1,ENSG00000167476,ENSMUSG00000020216,126306,71912
JSRP1,Jsrp1,ENSG00000167476,ENSMUSG00000020216,105372240,71912
JTB,Jtb,ENSG00000143543,ENSMUSG00000027937,10899,23922
JUN,Jun,ENSG00000177606,ENSMUSG00000052684,3725,16476
JUNB,Junb,ENSG00000171223,ENSMUSG00000052837,3726,16477
JUND,Jund,ENSG00000130522,ENSMUSG00000071076,3727,16478
JUP,Jup,ENSG00000173801,ENSMUSG00000001552,3728,16480
KALRN,Kalrn,ENSG00000160145,ENSMUSG00000061751,8997,545156
KANK1,Kank1,ENSG00000107104,ENSMUSG00000032702,23189,107351
KANK2,Kank2,ENSG00000197256,ENSMUSG00000032194,25959,235041
KANK3,Kank3,ENSG00000186994,ENSMUSG00000042099,256949,80880
KANK4,Kank4,ENSG00000132854,ENSMUSG00000035407,163782,242553
KANSL1,Kansl1,ENSG00000120071,ENSMUSG00000018412,284058,76719
KANSL1,Kansl1,ENSG00000278458,ENSMUSG00000018412,284058,76719
KANSL1,Kansl1,ENSG00000275867,ENSMUSG00000018412,284058,76719
KANSL1L,Kansl1l,ENSG00000144445,ENSMUSG00000026004,151050,68691
KANSL2,Kansl2,ENSG00000139620,ENSMUSG00000022992,54934,69612
KANSL3,Kansl3,ENSG00000114982,ENSMUSG00000010453,55683,226976
KARS1,Kars,ENSG00000065427,ENSMUSG00000031948,3735,85305
KASH5,Kash5,ENSG00000161609,ENSMUSG00000038292,147872,384619
KAT14,Kat14,ENSG00000149474,ENSMUSG00000027425,57325,228714
KAT2A,Kat2a,ENSG00000108773,ENSMUSG00000020918,2648,14534
KAT2B,Kat2b,ENSG00000114166,ENSMUSG00000000708,8850,18519
KAT5,Kat5,ENSG00000172977,ENSMUSG00000024926,10524,81601
KAT6A,Kat6a,ENSG00000083168,ENSMUSG00000031540,7994,244349
KAT6B,Kat6b,ENSG00000156650,ENSMUSG00000021767,23522,54169
KAT6B,Kat6b,ENSG00000281813,ENSMUSG00000021767,23522,54169
KAT7,Kat7,ENSG00000136504,ENSMUSG00000038909,11143,217127
KAT8,Kat8,ENSG00000103510,ENSMUSG00000030801,84148,67773
KATNA1,Katna1,ENSG00000186625,ENSMUSG00000019794,11104,23924
KATNAL1,Katnal1,ENSG00000102781,ENSMUSG00000041298,84056,231912
KATNAL1,Gm42791,ENSG00000102781,ENSMUSG00000106892,84056,-1
KATNAL2,Katnal2,ENSG00000167216,ENSMUSG00000025420,83473,71206
KATNB1,Katnb1,ENSG00000140854,ENSMUSG00000031787,10300,74187
KATNBL1,Katnbl1,ENSG00000134152,ENSMUSG00000027132,79768,72425
KATNIP,Katnip,ENSG00000047578,ENSMUSG00000032743,23247,233865
KAZALD1,Kazald1,ENSG00000107821,ENSMUSG00000025213,81621,107250
KAZN,Kazn,ENSG00000189337,ENSMUSG00000040606,23254,71529
KBTBD11,Kbtbd11,ENSG00000273645,ENSMUSG00000055675,9920,74901
KBTBD11,Kbtbd11,ENSG00000176595,ENSMUSG00000055675,9920,74901
KBTBD12,Kbtbd12,ENSG00000187715,ENSMUSG00000033182,166348,74589
KBTBD13,Kbtbd13,ENSG00000234438,ENSMUSG00000054978,390594,74492
KBTBD2,Kbtbd2,ENSG00000170852,ENSMUSG00000059486,25948,210973
KBTBD3,Kbtbd3,ENSG00000182359,ENSMUSG00000025893,143879,69149
KBTBD4,Kbtbd4,ENSG00000284900,ENSMUSG00000005505,55709,67136
KBTBD4,Kbtbd4,ENSG00000123444,ENSMUSG00000005505,55709,67136
KBTBD6,Kbtbd6,ENSG00000165572,ENSMUSG00000075502,89890,432879
KBTBD6,Kbtbd7,ENSG00000165572,ENSMUSG00000043881,89890,211255
KBTBD7,Kbtbd7,ENSG00000120696,ENSMUSG00000043881,84078,211255
KBTBD7,Kbtbd6,ENSG00000120696,ENSMUSG00000075502,84078,432879
KBTBD8,Kbtbd8,ENSG00000163376,ENSMUSG00000030031,84541,243574
KCMF1,Kcmf1,ENSG00000176407,ENSMUSG00000055239,56888,74287
KCNA1,Kcna1,ENSG00000111262,ENSMUSG00000047976,3736,16485
KCNA10,Kcna10,ENSG00000143105,ENSMUSG00000042861,3744,242151
KCNA2,Kcna2,ENSG00000177301,ENSMUSG00000040724,3737,16490
KCNA3,Kcna3,ENSG00000177272,ENSMUSG00000047959,3738,16491
KCNA4,Kcna4,ENSG00000182255,ENSMUSG00000042604,3739,16492
KCNA5,Kcna5,ENSG00000130037,ENSMUSG00000045534,3741,16493
KCNA6,Kcna6,ENSG00000151079,ENSMUSG00000038077,3742,16494
KCNA7,Kcna7,ENSG00000104848,ENSMUSG00000038201,3743,16495
KCNAB1,Kcnab1,ENSG00000169282,ENSMUSG00000027827,7881,16497
KCNAB2,Kcnab2,ENSG00000069424,ENSMUSG00000028931,8514,16498
KCNAB3,Kcnab3,ENSG00000170049,ENSMUSG00000018470,9196,16499
KCNB1,Kcnb1,ENSG00000158445,ENSMUSG00000050556,3745,16500
KCNC1,Kcnc1,ENSG00000129159,ENSMUSG00000058975,3746,16502
KCNC2,Kcnc2,ENSG00000166006,ENSMUSG00000035681,3747,268345
KCNC3,Kcnc3,ENSG00000131398,ENSMUSG00000062785,3748,16504
KCNC4,Kcnc4,ENSG00000116396,ENSMUSG00000027895,3749,99738
KCND1,Kcnd1,ENSG00000102057,ENSMUSG00000009731,3750,16506
KCND2,Kcnd2,ENSG00000184408,ENSMUSG00000060882,3751,16508
KCND3,Kcnd3,ENSG00000171385,ENSMUSG00000040896,3752,56543
KCNE1,Kcne1,ENSG00000180509,ENSMUSG00000039639,3753,16509
KCNE1B,Kcne1,ENSG00000276289,ENSMUSG00000039639,102723475,16509
KCNE2,Kcne2,ENSG00000159197,ENSMUSG00000039672,9992,246133
KCNE3,Kcne3,ENSG00000175538,ENSMUSG00000035165,10008,57442
KCNE4,Kcne4,ENSG00000152049,ENSMUSG00000047330,23704,57814
KCNE5,Kcne1l,ENSG00000176076,ENSMUSG00000090122,23630,66240
KCNF1,Kcnf1,ENSG00000162975,ENSMUSG00000051726,3754,382571
KCNG1,Kcng1,ENSG00000026559,ENSMUSG00000074575,3755,241794
KCNG2,Kcng2,ENSG00000178342,ENSMUSG00000059852,26251,240444
KCNG3,Kcng3,ENSG00000171126,ENSMUSG00000045053,170850,225030
KCNG4,Kcng4,ENSG00000168418,ENSMUSG00000045246,93107,66733
KCNH1,Kcnh1,ENSG00000143473,ENSMUSG00000058248,3756,16510
KCNH2,Kcnh2,ENSG00000055118,ENSMUSG00000038319,3757,16511
